ID,Community,Name,CountryFixed,DOB,Season,Squad,Comp,LgRank,MP,Gls
414e1f69,4,Marley-Ake,France,2001,3,2,2,"['2nd', '5th', '4th', '4th']",22,0.0
41504e47,2,Oumar-Sissoko,Mali,1987,7,4,2,"['4th', '17th', '18th', '20th', '17th', '18th', '4th']",91,0.0
41521385,3,Losada,Spain,2001,1,1,1,['17th'],2,1.0
415bd344,0,Fernando-Meira,Portugal,1978,12,5,5,"['6th', '4th', '8th', '2nd', '4th', '5th', '9th', '1st', '6th', '5th', '3rd', '1st', '1st', '16th']",286,14.0
418f8f61,3,Michel,Spain,1988,15,9,3,"['6th', '3rd', '18th', '5th', '11th', '8th', '15th', '14th', '9th', '7th', '5th', '16th', '13th', '19th', '5th']",357,38.0
4195b8b6,4,Andrea-Papetti,Italy,2002,4,1,2,"['19th', '7th', '5th', '4th']",40,2.0
41976af1,4,Jeremy-Menez,France,1987,19,10,6,"['10th', '15th', '9th', '12th', '11th', '6th', '2nd', '6th', '2nd', '1st', '1st', '10th', '7th', '6th', '14th', '4th', '3rd', '3rd', '17th', '11th', '14th', '1st']",422,81.0
41985204,1,Mateja-Kezman,Serbia,1979,12,6,5,"['1st', '2nd', '1st', '2nd', '1st', '10th', '1st', '2nd', '6th', '3rd', '13th', '4th']",268,143.0
41a1a2c8,0,Martin-Angha,Switzerland,1994,10,6,5,"['17th', '9th', '16th', '7th', '7th', '5th', '6th', '8th', '16th', '11th', '15th', '13th']",178,2.0
41ab1795,0,Juanan,Spain,1987,12,7,7,"['3rd', '17th', '13th', '20th', '2nd', '4th', '4th', '1st', '1st', '3rd', '7th', '2nd']",182,8.0
41afd8cf,2,Alhassan-Wakaso,Ghana,1992,8,4,2,"['15th', '11th', '10th', '6th', '7th', '18th', '9th', '5th', '7th']",155,3.0
41b3069f,3,Fernando-Calero,Spain,1995,6,2,2,"['5th', '16th', '20th', '1st', '14th', '17th']",125,3.0
41b3082c,2,Ladislas-Douniama,Republic of the Congo,1986,4,3,2,"['17th', '7th', '11th', '2nd', '16th', '10th']",79,12.0
41b3e74a,0,Moritz-Volz,Germany,1983,12,5,5,"['10th', '9th', '13th', '12th', '16th', '17th', '9th', '18th', '4th', '6th', '7th', '16th']",225,6.0
41b7a8cf,3,Paulo-Assuncao,Brazil,1980,11,5,3,"['11th', '4th', '3rd', '1st', '1st', '1st', '4th', '9th', '7th', '5th', '19th']",253,3.0
41bd99ea,4,Simone-Scuffet,Italy,1996,10,5,4,"['13th', '16th', '22nd', '13th', '14th', '12th', '14th', '3rd', '14th', '12th', '3rd']",124,0.0
41bff4fa,0,Marton-Dardai,Germany,2002,6,3,3,"['3rd', '5th', '6th', '10th', '14th', '16th', '14th']",79,1.0
41c12f75,3,Mathias-Olivera,Uruguay,1997,9,4,4,"['1st', '2nd', '1st', '8th', '4th', '5th', '8th', '15th', '15th', '1st']",128,4.0
41cc19c2,1,Connor-Wickham,England,1993,14,9,4,"['9th', '15th', '13th', '13th', '17th', '18th', '16th', '15th', '14th', '16th', '15th', '14th', '12th', '16th', '14th', '14th', '3rd', '13th', '3rd', '21st']",244,51.0
41d086b6,4,Edgar-Alvarez,Honduras,1980,9,8,3,"['12th', '2nd', '20th', '20th', '2nd', '20th', '10th', '20th', '16th', '6th']",182,12.0
41d1fbc6,0,Edgar-Salli,Cameroon,1992,9,6,6,"['8th', '1st', '2nd', '15th', '7th', '12th', '2nd', '18th', '9th']",150,21.0
41d6be38,0,Melvyn-Lorenzen,Uganda,1994,7,4,4,"['12th', '10th', '13th', '17th', '17th', '7th', '9th', '12th']",99,7.0
41d84fed,3,Lica,Portugal,1988,12,10,4,"['7th', '11th', '5th', '3rd', '11th', '10th', '10th', '21st', '12th', '10th', '9th', '15th', '17th', '18th']",257,40.0
41df88b8,0,Saulo-Decarli,Switzerland,1992,11,5,4,"['3rd', '11th', '6th', '8th', '3rd', '1st', '2nd', '8th', '1st', '13th', '12th']",147,5.0
41e7ef1c,2,Layvin-Kurzawa,France,1992,13,3,3,"['18th', '8th', '1st', '2nd', '3rd', '3rd', '1st', '2nd', '1st', '1st', '1st', '2nd', '1st', '9th']",182,16.0
41eebdf5,2,Samuel-Gigot,France,1993,10,5,5,"['13th', '20th', '7th', '12th', '3rd', '4th', '5th', '7th', '2nd', '10th', '3rd']",230,19.0
41f08ac8,1,Keane-Lewis-Potter,England,2001,4,2,3,"['24th', '1st', '19th', '11th']",115,27.0
41f32541,3,Fernando,Brazil,1987,16,5,4,"['13th', '1st', '3rd', '1st', '1st', '1st', '3rd', '2nd', '4th', '3rd', '1st', '1st', '4th', '4th', '4th', '18th']",373,17.0
41fac491,4,Lorenzo-Rosseti,Italy,1994,7,5,3,"['9th', '17th', '6th', '3rd', '18th', '13th', '14th']",110,21.0
41fb0f4e,1,Domingos-Quina,Portugal,1999,7,6,5,"['11th', '13th', '5th', '11th', '19th', '2nd', '9th', '24th', '1st', '1st', '14th', '20th']",73,8.0
41ff002d,4,Bruno-Jordao,Portugal,1998,5,4,6,"['5th', '8th', '12th', '7th', '9th', '2nd', '8th', '10th']",34,4.0
4207e578,3,Pablo-Chavarria,Argentina,1988,13,7,5,"['3rd', '15th', '6th', '11th', '2nd', '20th', '6th', '7th', '1st', '8th', '19th', '12th', '18th', '22nd']",320,67.0
420c18a1,0,Yann-Sommer,Switzerland,1988,15,4,2,"['10th', '3rd', '3rd', '1st', '1st', '1st', '1st', '3rd', '4th', '9th', '9th', '5th', '4th', '8th', '10th', '6th']",434,0.0
420d7c7d,1,Luke-Ayling,England,1991,14,5,5,"['15th', '14th', '17th', '4th', '24th', '1st', '18th', '17th', '7th', '13th', '3rd', '1st', '9th', '13th', '17th', '14th', '1st']",459,14.0
420ff5a3,0,Edgar-Prib,Germany,1989,12,3,2,"['11th', '4th', '1st', '18th', '10th', '13th', '18th', '2nd', '17th', '6th', '5th', '10th']",272,19.0
42130443,0,Zack-Steffen,United States,1995,8,5,5,"['27th', '18th', '5th', '10th', '20th', '17th', '1st', '1st', '21st']",113,0.0
42138efa,1,Stanislav-Manolev,Bulgaria,1985,12,8,4,"['3rd', '3rd', '3rd', '2nd', '12th', '10th', '8th', '4th', '10th', '14th', '2nd', '2nd', '2nd', '1st', '1st', '12th']",241,19.0
